标题,链接,摘要
大概，他们就是世上活得最明白的人吧,https://zhuanlan.zhihu.com/p/34071826,2017年夏天，在北京金鱼胡同打了辆车。司机师傅右臂刺了个麒麟。他说，是年轻时去天津刺的，为了个女孩儿。“现在要洗掉也得一千多块，还疼，就算了留着吧。”他说，冬天还好，夏天就老得跟乘客解释这刺青来由。不过，“留着吧，当一念想。”我很想问他那个…
“我们是逼死了人，可你也不该出来揭露呀！”,https://zhuanlan.zhihu.com/p/35355991,张无忌学医的师父胡青牛，有个妹妹胡青羊；她救了华山派的鲜于通——那时，鲜于通正因为始乱终弃，被报复性下毒，生命垂危呢——以身相许，不料始乱终弃的惯犯鲜于通又抛了胡青羊。胡青羊自尽了。胡青牛难过之极，引为终身恨事，告诉了张无忌。 光明顶上，…
陈世峰杀害江歌事件里，刘鑫那扇始终紧闭的门,https://zhuanlan.zhihu.com/p/31003024,江歌与刘鑫的这桩惨事，有点像马尔克斯的一篇小说，《事先张扬的凶杀案》。 在小说里，一个女孩因为新婚之夜不是处女而被退婚，被逼问下，便指认一个无辜青年纳赛尔是奸夫。女孩的兄弟——两个屠夫——出门去杀纳赛尔。纳赛尔逃回家，一个女仆在二楼，以为…
外国人喝冰水，中国人喝热水，一定是中外体质不同吧？,https://zhuanlan.zhihu.com/p/41947834,那年冬天，我和几个朋友去瑞士某小城旅游，朋友吃不惯瑞士奶酪锅，行李箱里摸出早就备好的泡面，略一沉吟，去找酒店工作人员要点热水。瑞士人一脸懵懂：热水？您要喝茶还是咖啡？不不，只是热水。瑞士人完全不能理解：你们要热水干什么呢？——按照规定，我…
别急着对南海喊打喊杀，大国不怒,https://zhuanlan.zhihu.com/p/21582574,南海之事，诸位已知道了。此事始末，非只一日，只是昨日出来个结尾。于是互联网上，或慷慨陈词，或喊打喊杀，或嬉笑怒骂，各自文章春秋。 地不能割。海不能让。一寸不退。这是当然的，必须的。但就此喊打喊杀、仇视全球，甚至大嚷“看见祖国这么流氓我就放…
语言类节目，为什么就不如以前好看了？？,https://zhuanlan.zhihu.com/p/25035431,我并不想批评鸡年这台晚会的语言类节目。<strong>我认为，今年诸位老师表现，整体还比去年出色。</strong>开心麻花团队与蔡明+潘长江组合，表现都中规中矩。冯巩连续第二年没有想死我们，而且又跟h和f音卯上了，但他戴上头套的瞬间像《我爱我家》46集傅局长乔装改扮，就足以…
救救孩子！,https://zhuanlan.zhihu.com/p/31382857,<b>本篇原来是半个月前某事件爆出后的回答。</b><b>很快有人告诉我，本回答在许多时间线上消失了。当然，我很理解。</b><b>今天，因为众所周知的原因，请容我再发一遍。我相信，大家也理解。</b> 我小时候，是1980年代；那时我们的托儿所与幼儿园，都是所居住新村办的，算当地公…
内政外交007集于一体，却总被夸勤勉俭朴，可惜这传奇人生,https://zhuanlan.zhihu.com/p/24780145,今天是，周公忌辰四十一周年。他老人家1976年1月8日逝世的。那一年风云变幻，天摇地动。将相帝星纷落，郭沫若先生也很忙：写了好几首《水调歌头》，真辛苦他了。周公是那年年初去世的。但若从谱系看，他是那年的赢家。他那一批人，那年赢了，然后，有今日之…
“要想学得会，先陪师父睡”？,https://zhuanlan.zhihu.com/p/35380964,<b>要想学得会，先跟师父睡。</b>——这话本来是段子，但细想，还是有人能实现的。 杨过表示：这个可以有。瑛姑跟周伯通学点穴，然后不知怎的，孩子都生了。不久段皇爷就出家了。韦爵爷每次提到阿九师父，都强调是“美貌尼姑师父”，说他绝无此心，怕也未必。严格…
我以前也恨极了高考,https://zhuanlan.zhihu.com/p/21318859,我以前，也像许多位刚高考或即将高考考生似的，恨极了高考。我是江苏人。当年高考，所谓五年四改革。轮到我们考那年，高二升高三时，还不确认高考要怎么办。制度朝令夕改，传言纷纷。好想揍人。最后呢，高考，我们一口气考了九门（我那届，偏科生都完了），…
国产航母下水……让我想到李鸿章和北洋舰队,https://zhuanlan.zhihu.com/p/26680060,我们都知道了，上周中国国产航空母舰，下水了。据说许多人都哭了，我也很是理解。 二十多年前，我初读二战战史，看到珊瑚海海战。对许多周杰伦歌迷而言，珊瑚海是一首歌，在我记忆里，却意味着史上第一次航空母舰对战。我记得瑞鹤、翔鹤，记得列克星敦号和…
伤不伤身体我们不管，你揭露了，就活该被追杀！,https://zhuanlan.zhihu.com/p/37011354,<b>本文纯属虚构。</b> 却说光明顶上，张无忌对崆峒派宗维侠道：“这七伤拳的拳功每深一层，自身内脏便多受一层损害。实则是先伤己，再伤敌。这七伤拳有害无益，不能再练。”宗维侠额头上汗珠一滴滴的渗了出来。原来张无忌精通七伤拳的拳理，说来竟丝毫不错。宗维…
白酒有什么好喝的呢？,https://zhuanlan.zhihu.com/p/25433195,我少时便不爱白酒。啤酒清冽，爽口解渴；黄酒醇甜，温润沉厚。白酒有什么好喝呢？我故乡规矩，乡间宴会，每桌发一瓶白酒。女眷不喝爷们喝。江南酒鬼汉子，酒量再大，也不敢愣喝：小杯小盏，倒了白酒，滋溜一口，皱眉眯眼，满脸痛并快乐着，彼此照杯底：“干…
你上次被人称呼“同志”，是什么时候了？,https://zhuanlan.zhihu.com/p/53075603,12月10日午后，我坐北京到无锡的高铁商务座，回家去。邻座有位白寸头穿军大衣的老人。大概是儿女买的票，他对车上的许多细节不大懂，用方言问列车员：这个按钮是干什么的？这个垫子是用来干啥的？如此云云。商务座为图安静，列车员惯常不在车厢里，有事打招…
周立波这个人，真真作孽啊,https://zhuanlan.zhihu.com/p/24971663,今天知道周立波先生在美国被捕、查出了枪支和毒品的事后，我第一时间，脑补出了以下景象：在上海某片天空下的关栋天老师，偶然扫过今天的新闻，目光在某演员涉嫌吸毒的字样上停留片刻，摇了摇头，叹了口气，嘴角勾出丝苦笑，道：个只赤佬……（若换个性格刻…
跟你们明星大爷不同，我们凡人活下去就竭尽全力了,https://zhuanlan.zhihu.com/p/34984389,在NBA，有一些名字如雷贯耳，几乎可以传到火星。在本星球上，甚至一些不懂英语的人，也能对这名字念念有词。但也有这么一群人：他们效力于某支球队，但他们可以不戴墨镜走在离主场球馆100米远的大街上，无人围观索要签名。不看球的老奶奶听到他的名字，会好…
金庸先生逝世了，为什么我们会如此难过,https://zhuanlan.zhihu.com/p/48152024,金庸先生仙逝了。94岁。为什么我们会这么难过呢？ 94岁，按说算喜丧。当年小昭在地道里跟张无忌唱：“到头这一身，难逃那一日。受用了一朝，一朝便宜。百岁光阴，七十者稀。急急流年，滔滔逝水。”七十者稀啊。无崖子九十三岁，童姥九十六岁。 论作品，到19…
喝咖啡真比吃大蒜高雅洋气么？,https://zhuanlan.zhihu.com/p/25890847,我国有位颇为洋气、甚讲派头的演员，曾如此划分人群：吃大蒜的，喝咖啡的。 这位先生自居喝咖啡的一族，对吃大蒜的，似乎无甚好感；大约他先生洋气得很，会觉得大蒜与咖啡，应该泾渭分明，道不同不相与谋。 话说，地中海沿岸的欧洲人，尤其是现代法国人听了…
哪有酒后乱性？都是酒壮人胆才露本性,https://zhuanlan.zhihu.com/p/25768069,“压根就没有酒醉乱性这事，都是借口。喝醉了，要么想吐，要么想睡。还乱性？眼睛都睁不开，哪来力气乱性？酒后就是，有胆子了，心里喜欢的人，心里喜欢的事，敢说了，敢做了，自己也就明白了。” 说完这段话，他将杯子朝我顿了顿，晃了晃脑袋。 姑且叫他热…
让陶崇园死得不明不白的，到底是什么？,https://zhuanlan.zhihu.com/p/35329586,今天是清明节。谨此，向武汉已故的陶崇园表哀悼之情。——打上面这行字时，本想打“陶崇园同学”，再一想，大概他临终时最绝望的，便是无法摆脱<b>学生</b>这个身份吧？ 毕竟，有这个身份在一天，那位老师就未必放得过他。从何时起，学生这个身份，如此卑微了呢？ …
出走半生，关山万里，归来仍是少女心气,https://zhuanlan.zhihu.com/p/31621175,一个故事，不同讲法。我少时学《木兰辞》时，多赞美木兰代父从军，是为<b>孝顺</b>；保家卫国，是为<b>精忠</b>。美国人当年拍《花木兰》动画片，却重在男女平等，重在女性自立；最妙的情节，便是让木兰的同僚化妆成后宫宫女，解救天子。这是一个很好的冷幽默。但我别有一…
记住就是一切,https://zhuanlan.zhihu.com/p/27892176,我小学六年级时，学校为了冲刺当时市里最好的一所初中，组织了个提高班——该初中当时有九成概率进无锡市一中，无锡市一中又是百分百本科七成一本率的高中，乃是当时全市学校用来冲业绩的好所在。 学校拣选了年级里成绩最好的24位，搁进提高班里，放学后另…
世上未有不衰之帝国，不落之太阳，不堕之荣光,https://zhuanlan.zhihu.com/p/21424482,英国公投脱欧了。英镑暴跌了。世界人民震动了。卡梅伦首相辞职了。 世界大势，昨天大家都讨论完了。过去这一天，我就剩两个乐子。第一个，是看卡梅伦首相的辞职报告。真是好。从头到尾，都忍不住流露这表情。 而且，许多话里带刺。 我擅自代他脑补了下，把…
挟孩子骗钱的假乞丐，坑的不只是给钱的人,https://zhuanlan.zhihu.com/p/24071080,洪七公一边撕叫花鸡吃，一边含含糊糊地对郭靖黄蓉道：“我适才将丐帮的规矩都说了一遍，你可都听懂了？”黄蓉点了点头，郭靖挠了挠后脑，道：“蓉儿聪明，听了就懂，弟子却还是不甚明白。这污衣派和净衣派，却有什么分别？” 蓉儿道：“傻哥哥，这不是极明…
记住，南京大屠杀,https://zhuanlan.zhihu.com/p/24348434,今天公众号后台有一位给我留言，如是说：今天是南京大屠杀纪念日（张佳玮私人注：这位用词不大对，应为<b>南京大屠杀死难者国家公祭日</b>），希望您能写一篇相关的文章，提醒人们勿忘国耻，谢谢我回了一句：这不是我们的国耻。是<strong>我们的</strong><strong>国难</strong>，<strong>日本的</strong><strong>国耻</strong>。 当然，…
德里克-罗斯依然在打篮球,https://zhuanlan.zhihu.com/p/20550778,德里克-罗斯还在打篮球。虽然大半个世界，已经把他忘记了？ 他27岁了，不太年轻，却也没老到让人怀旧的地步。芝加哥公牛，曾经东部前三常胜之师的硬鼻子风范，被锡伯度带走了。已经有三年了，世界已经习惯了“罗斯复出了，罗斯又伤了”。就像奥兰多魔术时期…
最燃的时刻……莫过于变成超级赛亚人吧,https://zhuanlan.zhihu.com/p/37514182,我估计，在我有生之年，被问到“看过最燃的一幕漫画是什么”时，我还是会说：“悟空变成超级赛亚人的瞬间。”想一想，为什么呢？大概是稀有吧？到后来，《龙珠》里超级赛亚人遍地跑，发型和光焰随意变，甚至头发颜色也从黑变金从金变赤橙黄绿青蓝紫时，那美…
好汉，饶我老虎一条命吧！,https://zhuanlan.zhihu.com/p/25048547,武松手提哨棒便走。酒家赶出来叫道：“你且回来我家看抄白官司榜文。”武松道： “甚麽榜文？”酒家道：“如今前面景阳冈上有只吊睛白额大虫，冈子路口都有榜文；可教往来客人结夥成队， 於巳午未三个时辰过冈；其馀寅卯申酉戌亥六个时辰不许过冈。更兼单身…
奢侈品凭什么卖这么贵？,https://zhuanlan.zhihu.com/p/24692269,奢侈品凭啥卖这么贵？许多人会简单回一句：忽悠有钱人呗。 那，有钱人都是笨蛋吗，这么容易被忽悠？并非如此。大多数有钱人，那是相当精明啊。但看着奢侈品品牌高价摆谱（比如Penhaligons这类货，至于一些假装奢侈品寻求溢价的品牌，那就算了），还是愿打愿…
南京大屠杀逝者30万，抗日战争逝者1800万，二战逝者7000万：这就是他妈的战争,https://zhuanlan.zhihu.com/p/31990877,今天是，南京大屠杀死难者国家公祭日。八十年前的今日，南京，侵华日军开始那臭名昭著的屠杀纵掠。 去年此时，写过的话：对1937年的事，记住南京大屠杀，记住侵华日军曾经犯下过的反人类战争罪行，记住战争的可怕，记住不加约束的人性可以多么扭曲。我个人…
低端帮会也配留在武林？我江湖自有规矩在此,https://zhuanlan.zhihu.com/p/31700692,“师父，为啥那些姑娘女侠刚和我语笑晏晏，一听说我是巨鲸帮的，立刻就翻个白眼？” “傻孩子，报啥帮名儿啊，以后就说你是海上游迹的一介少年浪子，最爱读麦尔维尔的《白鲸》，喜欢闻龙涎香与海风混合的味道。姑娘们立刻扑你怀里。” “怎么，我混帮派还丢…
习惯一个人自由自在——这种状态正常吗？,https://zhuanlan.zhihu.com/p/45813754,2004年秋天，我升大三，领了一笔版税，寻思租房住。找租房中介，在大学附近的所在看房子，看中了一处单间，租了。当时房间里，一张棕棚床，一张桌子，两张椅子，一个衣柜而已。房东走后，我躺在床上看天花板，觉得自己自由了——以前，在家里住，在宿舍住，…
恐怖分子想要的，偏不让他们得逞,https://zhuanlan.zhihu.com/p/21610031,今早出门，跑了四公里。周五上午的巴黎，街巷清和。上班族上班，闲汉子闲游。托尔比亚克路与彭斯卡梅路交界处，稳稳坐着的流浪汉白胡子大叔，还是微笑着对每个人招手。只是他今天问了我句：怎么样啊？ça va bien?我：都好啊Tout va bien。他问了我几点，我…
酒局上的荤段与姑娘：权力遮盖下的性骚扰，或者对权力的模仿与吹嘘,https://zhuanlan.zhihu.com/p/26866559,国内酒局有种现象，姑且叫做“权力遮盖下的性骚扰”。 导师带学生，领导带下属，老板带员工。酒过三巡，借酒蒙脸，地位高些的，开始说荤段子，逼下属饮酒。只要看见席上女孩子脸红，他们就格外高兴，仿佛不是嘴上，而是亲身占到了便宜似的。这样的，有年纪…
繁体字比简体字高贵……吗？,https://zhuanlan.zhihu.com/p/21739189,一句常见的话，繁体字爱好者拿来吐槽简体字的：亲不见，爱无心，体无骨，龟无脚。意思：繁体字好。简体字不好。 更有甚者，把简体字叫残体字的，觉得繁体字高贵一等。那，果真如此吗？ 类似的话题，近百年前吵过了。早1920年，五四运动刚过，中国思想百花齐…
村上春树、南京大屠杀与他一贯的立场,https://zhuanlan.zhihu.com/p/25598825,村上春树新小说《骑士团长杀人事件》，写到了<b>“南京大屠杀40万人遇害”</b>。当然只是小说。但光是提到这件事，已经够让日本右翼惊怒了。 国内也当新闻在登。除了感慨他有良知外，我还是看到了许多诧异的反应：“他不是写跑步写酒吧写小资情调小黄书的吗？” —…
伸手党们，在想什么呢,https://zhuanlan.zhihu.com/p/20870283,我一直对网络上伸手党的心理好奇。 先说一句，有一类在公众论坛，客客气气求资源共享的伸手党，是互联网时代常见的，大家习惯了，许多人都当过。本来互联网旨在<b>共享</b>，当义务搬运工这种事，同好者都乐意。甚至1024好人一生平安之类，还被传为美谈。我想说的…
说是老传统，经得起细问吗？,https://zhuanlan.zhihu.com/p/20620620,中国的传统，据说特别多。有些传统很美好，有些传统则否。 比如所谓的，“吃饭时女人不许上桌。” 妙的是，如果你要追问缘由，许多长辈也说不出所以然。但长辈们的百宝囊里，有一个看家法宝。一到词穷，就祭出来，道是： “这有什么好问的？传统就是这样的…
你能融入大城市生活吗,https://zhuanlan.zhihu.com/p/21393429,我还在上海时的某夏天，邻居有个小哥入住。北方人，五大三粗，红脸膛，头发剃得干练如板刷，在小区楼下停了辆改装过的自行车。说话略带口音，但憨厚。“我送水的。”他说。他能在自行车上，挂起数量匪夷所思的饮用水桶，乍看去，如在一根筷子上挂一篮苹果；…
有时候，真不敢多看张国荣,https://zhuanlan.zhihu.com/p/35181245,<b>旧文了。</b><b>今天出于众所周知的原因，重发一遍。</b> 张国荣演戏，很细，很用心。《霸王别姬》电影袁四爷初见程蝶衣那段，葛优静坐摆架势说话，张丰毅来回耍脾气。镜子映照着张国荣。那段张国荣台词少，但细节动作毫无敷衍。至少有三个镜头，后景镜中的他是模糊的…
谢谢你，蒂姆-邓肯,https://zhuanlan.zhihu.com/p/21561934,蒂姆-邓肯，刚才退役了。 我早有准备，但看到这消息时，还是无数念头过脑。再想了想，没什么好说好写的了。 他离开得安静，熄灯关门都无声息，很典型的邓肯风格，就像他十九年来的球风一样，简洁又平静。打球就是打球。退役就是退役。 我为他写过几十万字一…
你杀了这么多人，晚上睡得着吗,https://zhuanlan.zhihu.com/p/21838398,“你晚上能睡得着吗？”拿破仑如此问夏尔-亨利-桑松。 夏尔-亨利-桑松家在巴黎，却在少年时被送去鲁昂上学，其中自有原因：14岁那年，在鲁昂读书的他，都被迫退学了，只因为他的父亲到学校来看他，却被另一个学生家长认了出来。据说那个学生家长面色惨变，…
球员居然敢有文身？是不是得管一管了？？,https://zhuanlan.zhihu.com/p/34925862,文身疼吗？非常疼。一针一指，把图案刻进肌肤，永不消退，成为身体的一部分。过程并不容易。在肚子上的一个纹身也曾让人疼痛不已，但JR史密斯却觉得，文身很过瘾。第一个纹身？16岁，蓝色的，自己扣篮的画像。他在每场比赛前，会吻自己的前臂纹身，抚摸小腿…
当鲁迅先生遇见熊孩子,https://zhuanlan.zhihu.com/p/20687934,遇见熊孩子太多了，您会怎么办呢？ 1925年5月的《京报》副刊，孙福熙先生说了一件事。鲁迅先生刚从日本回国时，不到三十岁，一度在杭州两级师范学堂做化学老师。某一天，他做氢气点燃实验，忘了带火柴，就去拿，还叮嘱学生千万别碰氢气瓶，漏进空气有危险。…
多少人默默当着狗，就为了最后可以像个人那么活着？,https://zhuanlan.zhihu.com/p/32130103,两年前，即，马特·巴恩斯35岁时，他说，自己是条狗。当然，英语里狗的意思，与中文里不大同。但巴恩斯就是如此自我定位：“去他妈的人情。”那时他在洛杉矶，之后两年，他还要换三个球队。一辈子到处流浪。 他说NBA有两种世界。一种是科比与勒布朗的世界：…
你饿不饿？给你煎个蛋好不好？,https://zhuanlan.zhihu.com/p/41757947,在法国待久了，容易咬文嚼字。比如，早餐时，我在厨房，问楼上：“我煎个蛋？”楼上便会反问：“Omelette 还是荷包蛋？”敢情，煎蛋还得细分么？这两个词，都可以是煎蛋，还都是早上就能吃的。荷包蛋本身不奇：热锅下油，敲蛋下锅，等蛋凝固，嫩白软黄，世…
中国的事，多坏在一个苟字上,https://zhuanlan.zhihu.com/p/27555668,<b>昨晚发公众号的。当然没啥意义，一时意气文字游戏而已。</b><b>有几位相熟又知道内情的前辈劝我，说内情不算简单，别多写免得被封，所以删了。</b><b>知乎私信里有几位要，所以这里发一遍当个存底。</b><b>知乎专栏的一个好处是：即便有什么不大对，不会突然封了。最多善意地保护…</b>
说话，越发地重口味了！,https://zhuanlan.zhihu.com/p/20741006,<u>去年给腾讯大家的一个文。</u> 你点开朋友圈，看见姑娘们与姐们的自拍，下面缀满“闺蜜”、“我家女神”之类字样。你点开社交网络，看见一张男生照片，下面可能一片嚷：“男神啊啊啊！”你觉得没什么，因为你习惯了。 可是，打什么时候起，我们的生活里充满了神…
33岁零3天的克里斯·保罗，扼住了一向虐待他的命运,https://zhuanlan.zhihu.com/p/36634527,勇士与鹈鹕的第五场，本来克雷第二节便要终结鹈鹕了：打三分外加追身急停中投拉开7分，分差朝两位数走，但霍乐迪靠强突拼死追了回来。库里和杜兰特三个让人绝望的投篮拉开11分，戴维斯依靠面筐突破，又将分差拉了回来；朗多组织了两个漂亮的挡切，鹈鹕甚至…
怎么，您以为翻译腔只是“见鬼，老伙计，我要踢你的屁股”吗？,https://zhuanlan.zhihu.com/p/29661901,“啊我的上帝，老伙计，我发誓，你再这么说，我就要踢你的屁股了！”“嘛，如果这样的话，总觉得会比较困扰呢。”“人们普遍相信，对待政治学真正科学的或哲学的态度，和对一般意义上的社会生活更深刻的理解，必定建立在对历史的沉思和阐释的基础之上。” …
周芷若喂的饭，赵敏涮的肉，黄蓉炖的汤，程灵素炒的豆芽菜,https://zhuanlan.zhihu.com/p/30405526,金庸有一个妙处：武功风格，凑着人物性格。比如洪七公刚正侠义，用的便是阳刚简朴的降龙十八掌；黄药师聪慧绝伦，便自创了华丽斑斓的落英神剑掌。令狐冲性子潇洒，便独孤九剑无招胜有招；黑白子性格阴鸷，便用了滴水成冰的玄天指。武功体现人格。吃的东西，…
谁说只有中国北方人民爱吃硬菜的？？？,https://zhuanlan.zhihu.com/p/53627108,我有个同学的男朋友，江苏张家港人，在牛津读人类学；某年冬天到得巴黎，嗷嗷叫要吃东西。“不要去订法餐！我要硬菜！硬菜！！”到得一个韩国人开的烧烤馆，叫了牛羊肉串、烤五花肉，部队锅里加双份牛肉和方便面，甩开腮帮胡吃海塞。我们看愣了，他还委屈：…
希望斯蒂芬·库里一直是这样的少年吧,https://zhuanlan.zhihu.com/p/28128292,与其他大多数球员一样，斯蒂芬·库里真人看上去，比电视屏幕上健壮得多。屏幕上，他身旁经常站着其他筋肉怪物，比如勒布朗，所以不显；真人看去，则小腿与前臂的肌肉线缕分明，极低的体脂率一望而知。那是自然的：从戴维森大学的射手到NBA史上最强进攻武器…
见了先帝眼镜，如见先帝本人,https://zhuanlan.zhihu.com/p/25984303,你初看美国超级英雄，会发现他们颇多有眼无珠。比如蝙蝠侠，比如蜘蛛侠，就露一眼白，没有瞳孔。这手法最初是1936年《幻影侠》所创，作者李-法尔克说道灵感来自希腊雕像：雕塑没瞳孔，神性便流溢。于是后来《蝙蝠侠》编剧比尔-芬格就决定了：让蝙蝠侠有眼无…
“我去买几个橘子，你就站在此地，不要走动”,https://zhuanlan.zhihu.com/p/33403470,“我去买几个橘子，你就站在此地，不要走动。”已经是个名梗了，占便宜用的。说来也多亏《背影》是知名课文，说不定老师还要求学生背，所以大家都知道。 所以了，伦理哏的妙处到底何在呢？中国人传统重伦理尊卑，所以乱了尊卑，是毁骂的关键。《战国策·赵…
周星驰有多久没出演无厘头喜剧了？,https://zhuanlan.zhihu.com/p/56421493,一般的说法是：《长江七号》之后，周星驰不演电影了。而在那之前，周星驰的电影就……不那么好笑，或曰，不那么无厘头了。其实严格来说，从<b>差不多22年前开始</b>，周星驰就在大幅度减少电影产品数量、演员转幕后、改变风格了。换言之：周星驰不那么无厘头，已经<b>…</b>
让它有尊严地死去吧,https://zhuanlan.zhihu.com/p/20565726,<strong>本文纯属虚构啦啦啦啦啦啦。</strong> 某大楼，某一个会议室里。“怎么才能让它有尊严地寿终正寝，还给大家留个好印象呢？”声音甲说。沉默。“似乎过去几年，我们刻意摆烂，把它搞得乱七八糟，已经起到效果了。”声音乙说，“现在，大家都在怀念陈佩斯、赵丽蓉那几…
领导们为何要刻意展现粗鲁？,https://zhuanlan.zhihu.com/p/25529835,刘邦为人，粗鲁无文，还爱对人洗脚。见大说客郦生时洗脚，见九江王英布时洗脚。没事就箕踞，大岔着两条腿。骂人也凶，动不动就“乃公于马上取天下”，乃公者，“你老子”是也。然而终于取天下，定汉室四百年江山，也真奇怪——那么多手下能忍他呢？ 基辛格…
是只有我一个人丧，还是这时代每个人都很丧？,https://zhuanlan.zhihu.com/p/34757199,“是只有我一个人受苦，还是每个人都很苦？” 我陪一位长辈，蹭过许多饭局；不知是否巧合，每次吃饭，他都会这一段： “我小时候，在某某乡村长大，家里很苦啊（此处描述里，加一些细节，感官印象鲜明生动，对桌的人都停箸不食，面露不忍之色）；后来还生了…
我们被方文山+周杰伦少年意气的词曲，哄了多久呢？,https://zhuanlan.zhihu.com/p/48638980,我就站在布拉格黄昏的广场，没有许愿池让我许希望，就像汉谟拉比前没有橱窗，方文山骗得我不敢看。 ——嗯，事实是：10月我去了布拉格老城广场，没看到许愿池。罗马倒是有许愿池，但在布拉格西边几百公里呢。 就像卢浮宫的汉莫拉比法典的确刻在黑色的玄武岩…
